town,2026-07-12,2026-07-18,2026-07-20,2026-07-23,2026-07-24,2026-07-25,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-08-03,2026-08-04
"Deniliquin",0.003,0.002,0.003,0.0031,0.0032,0.0033,0.002,0.005,4e-04,0.004,0,0
"Dubbo",0.004,0.004,0.005,0.0039,0.004,0.0042,0.0044,0.004,0,0.003,0,0
"Griffith",0,0,0,0.0037,0.003,0.0031,0.0019,0.003,0,0.004,0,0
"Lismore",0.018,0.018,0.02,0.0335,0.0245,0.0175,0.0159,0.014,0.0184,0.022,0.0189,0.0216
"Moree",0.005,0.001,0.001,0.002,0.002,0.0021,0.0022,0.002,0,0.003,0,0
"Borroloola",0,0,0,0,0,0,0,0,0,0,0,0
"Humpty Doo",0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
"Jabiru",0.001,0.001,0.002,0,0,0,0,0,0,0,0,0
"Katherine",0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
"Timber Creek",0,0,0,0,0,0,0,0,0,0,0,0
"Archer River",0,0,0,0,0,0,0,0,0,0,0,0
"Bamaga",0,0,0,0,0,0,0,0,0,0,0,0
"Biloela",0,0.003,0.003,0,0,0,0,0,0,0,0,0
"Burketown",0,0,0,0,0,0,0,0,0,0,0,0
"Clermont",0,0,0,0,0,0,0,0,0,0,0,0
"Croydon",0,0,0,0,0,0,0,0,0,0,0,0
"Dalby",0.004,0,0,0,0,0,0,0,0,0,0,0
"Emerald",0,0.002,0.002,0,0,0,0,0,0,0,0,0
"Goondiwindi",0.005,0.001,0.002,0.0016,0.0016,0.0016,0.0017,0.002,0,0.002,0,0
"Gympie",0.004,0.005,0.005,0.0031,0.0031,0.0032,0.0017,0.002,0,0.003,0,0
"Home Hill",0,0.003,0.003,NA,0,0,0,0,0,0,0,0
"Lakeland",0,0,0,0,0,0,0,0,0,0,0,0
"Malanda",0.178,0.407,0.495,0.0058,0.0034,0.0036,8e-04,0.374,0.001,0.004,0.0015,0.0011
"Marian",0.005,0.005,0.005,0,0,0,0,0,0,0,0,0
"Proserpine",0.007,0.009,0.007,NA,0,0,0,0.003,0,0,0,0
"Rolleston",0,0,0,0,0,0,0,0.004,0,0,0,0
"Roma",0.002,0,0,0,0,0,0,0,0,0,0,0
"Theodore",0,0.001,0.001,0,0,0,0,0,0,0,0,0
"Warwick",0.001,0,0,0.0014,0.0014,0.0015,0.0015,0,0.0016,0.001,0,0
"Fitzroy Crossing",0,0,0,0,NA,0,0,0,0,0,0,0
"Kununurra",0,0,0,0,0,0,0,0,0,0,0,0
